"scenario","policy","policy_param","crit","metric","currency","value"
"cyclical",1,NA,"TRUE_TRUE_TRUE_TRUE_TRUE_TRUE","admitted","mean",597.008
"cyclical",1,NA,"TRUE_TRUE_TRUE_TRUE_TRUE_TRUE","admitted","median",613.5
"cyclical",1,NA,"TRUE_TRUE_TRUE_TRUE_TRUE_TRUE","admitted","q25",364
"cyclical",1,NA,"TRUE_TRUE_TRUE_TRUE_TRUE_TRUE","admitted","q025",186.9
"cyclical",1,NA,"TRUE_TRUE_TRUE_TRUE_TRUE_TRUE","admitted","q75",810.25
"cyclical",1,NA,"TRUE_TRUE_TRUE_TRUE_TRUE_TRUE","admitted","q975",1037.025
"cyclical",1,NA,"TRUE_TRUE_TRUE_TRUE_TRUE_TRUE","dch_died","mean",244.102
"cyclical",1,NA,"TRUE_TRUE_TRUE_TRUE_TRUE_TRUE","dch_died","median",247
"cyclical",1,NA,"TRUE_TRUE_TRUE_TRUE_TRUE_TRUE","dch_died","q25",151
"cyclical",1,NA,"TRUE_TRUE_TRUE_TRUE_TRUE_TRUE","dch_died","q025",74
"cyclical",1,NA,"TRUE_TRUE_TRUE_TRUE_TRUE_TRUE","dch_died","q75",330.25
"cyclical",1,NA,"TRUE_TRUE_TRUE_TRUE_TRUE_TRUE","dch_died","q975",421.025
"cyclical",1,NA,"TRUE_TRUE_TRUE_TRUE_TRUE_TRUE","dch_died_ly","mean",5326.3920644
"cyclical",1,NA,"TRUE_TRUE_TRUE_TRUE_TRUE_TRUE","dch_died_ly","median",5383.1218
"cyclical",1,NA,"TRUE_TRUE_TRUE_TRUE_TRUE_TRUE","dch_died_ly","q25",3318.288025
"cyclical",1,NA,"TRUE_TRUE_TRUE_TRUE_TRUE_TRUE","dch_died_ly","q025",1609.47684
"cyclical",1,NA,"TRUE_TRUE_TRUE_TRUE_TRUE_TRUE","dch_died_ly","q75",7234.1816
"cyclical",1,NA,"TRUE_TRUE_TRUE_TRUE_TRUE_TRUE","dch_died_ly","q975",9179.8316175
"cyclical",1,NA,"TRUE_TRUE_TRUE_TRUE_TRUE_TRUE","dch_surv","mean",352.898
"cyclical",1,NA,"TRUE_TRUE_TRUE_TRUE_TRUE_TRUE","dch_surv","median",365
"cyclical",1,NA,"TRUE_TRUE_TRUE_TRUE_TRUE_TRUE","dch_surv","q25",218.75
"cyclical",1,NA,"TRUE_TRUE_TRUE_TRUE_TRUE_TRUE","dch_surv","q025",107.975
"cyclical",1,NA,"TRUE_TRUE_TRUE_TRUE_TRUE_TRUE","dch_surv","q75",474.25
"cyclical",1,NA,"TRUE_TRUE_TRUE_TRUE_TRUE_TRUE","dch_surv","q975",608.05
"cyclical",1,NA,"TRUE_TRUE_TRUE_TRUE_TRUE_TRUE","int_died","mean",0
"cyclical",1,NA,"TRUE_TRUE_TRUE_TRUE_TRUE_TRUE","int_died","median",0
"cyclical",1,NA,"TRUE_TRUE_TRUE_TRUE_TRUE_TRUE","int_died","q25",0
